"value_column","statistic_edible_parts","p_value_edible_parts","significance_edible_parts","statistic_location","p_value_location","significance_location","statistic_species_part_location","p_value_species_part_location","significance_species_part_location","statistic_domesticated","p_value_domesticated","significance_domesticated"
"AVERAGE_Carbohydrate_DW_g_per_100_g",38.528768588137,0.0111669376193772,"significant",29.9582264752791,0.000870222387747311,"significant",71.6312280701754,0.456697631003935,"not statistically significant",334,0.081975512197118,"not statistically significant"
"AVERAGE_Carbohydrate_DW_g_per_100_g",38.528768588137,0.0111669376193772,"significant",29.9582264752791,0.000870222387747311,"significant",71.6312280701754,0.456697631003935,"not statistically significant",334,0.081975512197118,"not statistically significant"
"STDEV_Carbohydrate_DW_g_per_100_g",28.5078137978785,0.126328077084348,"not statistically significant",19.6101037199002,0.0331637588954615,"significant",73.8993358476245,0.383665774447781,"not statistically significant",255,0.763728264472234,"not statistically significant"
"STDEV_Carbohydrate_DW_g_per_100_g",28.5078137978785,0.126328077084348,"not statistically significant",19.6101037199002,0.0331637588954615,"significant",73.8993358476245,0.383665774447781,"not statistically significant",255,0.763728264472234,"not statistically significant"
"AVERAGE_Carbohydrate_FW_g_per_100_g",44.2257209690894,0.00218581006834891,"significant",25.6898118022328,0.00418054900696424,"significant",73.980701754386,0.381132378919908,"not statistically significant",383,0.00849409420476498,"significant"
"AVERAGE_Carbohydrate_FW_g_per_100_g",44.2257209690894,0.00218581006834891,"significant",25.6898118022328,0.00418054900696424,"significant",73.980701754386,0.381132378919908,"not statistically significant",383,0.00849409420476498,"significant"
"STDEV_Carbohydrate_FW_g_per_100_g",27.0468544180892,0.169307670596903,"not statistically significant",21.3777224526239,0.0186083371463747,"significant",73.736059117975,0.388770083954188,"not statistically significant",355,0.033796748263595,"significant"
"STDEV_Carbohydrate_FW_g_per_100_g",27.0468544180892,0.169307670596903,"not statistically significant",21.3777224526239,0.0186083371463747,"significant",73.736059117975,0.388770083954188,"not statistically significant",355,0.033796748263595,"significant"
"AVERAGE_Protein_DW_percent",35.6164800389484,0.024134788141729,"significant",28.6678714339863,0.0014099534545585,"significant",76.3317104836092,0.371965899418971,"not statistically significant",394,0.0112468084962706,"significant"
"AVERAGE_Protein_DW_percent",35.6164800389484,0.024134788141729,"significant",28.6678714339863,0.0014099534545585,"significant",76.3317104836092,0.371965899418971,"not statistically significant",394,0.0112468084962706,"significant"
"STDEV_Protein_DW_percent",33.6630759184557,0.0393624625558757,"significant",30.6295456247744,0.000675317847469555,"significant",74.3453424212918,0.434161008214742,"not statistically significant",300,0.372608471721925,"not statistically significant"
"STDEV_Protein_DW_percent",33.6630759184557,0.0393624625558757,"significant",30.6295456247744,0.000675317847469555,"significant",74.3453424212918,0.434161008214742,"not statistically significant",300,0.372608471721925,"not statistically significant"
"AVERAGE_Protein_FW_percent",19.2003023910208,0.572292540742009,"not statistically significant",23.1455580219744,0.0102218648440485,"significant",74.4556360830741,0.430619746154223,"not statistically significant",432,0.00137615021935208,"significant"
"AVERAGE_Protein_FW_percent",19.2003023910208,0.572292540742009,"not statistically significant",23.1455580219744,0.0102218648440485,"significant",74.4556360830741,0.430619746154223,"not statistically significant",432,0.00137615021935208,"significant"
"STDEV_Protein_FW_percent",29.6775281586071,0.0986621397072713,"not statistically significant",24.6472839021729,0.00605571183307955,"significant",73.5840587223766,0.458829982135679,"not statistically significant",373.5,0.0285328808348759,"significant"
